Number One,Number Two,Their GCD,Time Spent (Milliseconds)
203195,883470,5,0.8046
347860,616013,1,1.4383
867366,961727,1,4.6489
62230,734898,2,0.2593
97927,955224,1,0.3857
621239,468219,1,2.0003
801619,105862,1,0.7109
992912,270505,1,1.4773
681602,791564,2,3.8478
704443,755927,1,3.8637
658456,722400,8,3.3553
493840,636878,2,2.7089
169805,619987,1,0.975
449609,556430,1,2.5241
961561,647536,1,3.5382
182437,744405,1,0.9885
531404,635915,1,2.9068
226239,472069,13,6.9246
307324,701017,1,1.9213
663435,930690,45,3.857
950746,320214,2,1.7854
792721,835167,1,18.6355
677574,374522,2,2.3469
89345,587514,1,0.5131
27983,489583,1,0.2493
66809,234627,1,0.3705
564326,568794,2,6.3473
651770,13749,1,0.0795
76634,202931,1,0.4442
650494,222700,2,1.2389
877236,955220,4,4.9929
470203,139703,1,0.8181
354728,3233,1,0.0193
522479,49725,1,0.2749
227769,60984,3,0.3386
839277,180334,1,1.0153
248325,310717,11,1.3846
771553,51973,1,0.2663
802996,475391,1,2.6311
88753,782571,1,0.5019
991856,491895,1,2.7695
439705,894140,5,2.6666
966646,548327,1,3.3266
78911,912937,1,0.4363
20502,737206,2,0.1165
12719,925008,7,0.073
578739,938932,1,3.4246
535848,625142,2,2.9894
979247,968930,1,5.8279
826634,629700,2,3.8119
658723,112340,1,1.0683
457014,257925,3,1.2682
16376,316497,1,0.0717
912701,236969,1,0.9623
694357,872515,1,3.8728
937008,334664,8,1.8703
342050,713561,1,1.9366
196523,72178,1,0.418
457946,651706,2,6.8911
653798,535846,2,3.4177
359584,274794,2,1.7711
244811,199981,1,1.3334
472204,108759,1,0.6728
660038,533010,2,3.5726
330908,268513,1,1.6458
857470,725203,1,3.5248
583167,555023,1,2.8021
249408,971548,4,1.0749
222829,495292,1,0.8775
208251,666415,1,0.868
942152,203429,1,1.64
779191,482078,1,2.2265
48551,929804,1,0.1914
867516,19780,4,0.0794
483005,161491,1,0.6405
362535,102434,1,0.4037
480508,130281,1,0.5177
739357,566094,1,2.4085
685603,591383,1,2.4268
105762,340524,6,0.4365
505192,991261,1,2.0229
815752,326287,1,1.4003
580325,281939,1,1.227
352454,261895,1,1.3719
866766,429969,3,1.8378
789503,881604,1,3.5362
844894,799355,1,4.5176
509912,324900,4,1.817
424872,931019,1,2.6077
698397,541475,1,2.5459
281809,328479,1,1.138
8889,983345,1,0.0355
517890,812147,1,2.0448
483482,35098,2,0.1387
228284,216640,4,0.8538
726804,130788,36,0.5159
264273,851166,3,1.045
892787,638488,1,2.5324
827625,389124,3,1.5497
879970,327254,2,1.3234
599671,971924,1,2.6163
205098,856951,1,0.8418
443757,902765,1,1.8148
716895,490837,1,1.9557
634221,784224,63,2.6073
650978,723064,38,2.5924
193503,572484,3,0.7651
238865,848261,43,1.0323
165359,360072,1,0.6516
891062,118026,2,0.4965
294481,225356,1,0.9742
626687,119441,1,0.7485
598889,136232,1,0.7813
663734,318246,2,1.7904
156417,272048,1,0.8816
873210,42628,2,0.2605
53335,710866,1,0.3071
756469,216750,1,1.2198
368315,387586,1,2.0862
503648,610441,1,2.8828
720504,301110,6,1.7127
100543,874407,1,0.582
271396,345755,1,1.5826
57845,270775,5,0.3256
95557,15685,1,0.1014
387173,631585,1,2.2436
724779,351728,1,1.4906
694211,784440,1,2.7447
616762,894929,1,2.4318
715473,713793,3,2.8138
212125,942562,1,0.8391
595884,252600,12,0.9958
352259,610441,1,1.3904
804695,553148,1,2.2805
201793,480517,1,0.7943
797234,961304,2,3.1477
254990,750842,2,1.0095
512751,589309,1,2.0241
465480,827123,1,1.8384
656241,292194,3,1.1503
562092,587049,3,2.2316
455102,65026,2,0.2565
48723,68106,3,0.1922
698726,813075,1,2.8564
38905,540365,5,0.1536
537339,202022,1,0.7954
766797,396049,1,1.5686
556983,855747,9,2.1969
685662,181033,1,0.7183
872663,639415,1,2.5241
261424,254360,8,1.0062
985015,253126,1,0.9961
766526,439231,1,1.7342
299908,653491,1,1.1819
337516,408552,4,1.4426
61937,46671,1,0.184
241760,178861,1,0.714
45511,411026,1,0.1795
341025,118491,3,0.4882
564660,333854,2,1.322
544013,179801,1,0.7075
779822,772066,2,3.0477
601749,55906,1,0.2213
870939,193623,3,0.762
813773,240927,1,0.9673
398272,564380,4,1.5765
475167,747094,1,1.9078
863725,290822,1,1.1444
231301,504946,1,0.9153
663890,21830,10,0.0866
163967,478055,23,0.7286
987220,726972,4,2.8773
475919,543528,1,1.907
259602,519862,14,1.0342
460701,7403,1,0.0296
241437,212838,3,0.838
990520,734847,1,2.8999
726989,507236,1,2.0031
426745,884541,1,1.7158
643657,573335,7,2.3248
605016,851010,6,2.3875
464412,80813,1,0.3192
203037,113001,3,0.4447
912807,642752,1,2.548
491922,94844,2,0.3735
259062,719844,6,1.0195
135188,672487,1,0.537
170122,377788,2,0.6696
819334,974502,2,3.2288
11981,180938,1,0.0853
879692,916014,22,3.559
352707,315509,1,1.2525
474121,762181,1,1.8701
463217,834687,1,1.8224
254031,636972,3,1.0297
771199,398226,1,1.575
974160,369711,27,1.4642
459688,382017,1,1.5033
824341,579640,1,2.2873
839935,432903,1,1.7082
990090,73843,1,0.2925
412521,454625,1,1.6741
591153,464545,1,1.8365
622019,145999,1,0.5789
643679,494019,1,1.9486
592104,855254,2,2.3649
869734,786696,2,3.1346
937336,204300,4,0.8143
769316,516277,1,2.0362
791510,511461,1,2.8092
908666,132244,2,0.521
43699,472931,1,0.1721
114385,896741,1,0.4598
179302,571289,1,0.7058
466853,505541,1,1.8421
329788,657191,1,1.3058
667433,510441,1,2.0146
472072,928483,1,1.8629
977567,289658,1,1.1397
535220,338311,1,1.3385
756353,851993,797,3.3809
956904,979823,13,5.4975
422554,801687,1,1.8665
795269,524182,1,2.1323
97517,132951,7,0.3841
259324,566938,2,1.0283
76339,591584,1,0.3101
202160,665142,2,0.7976
323827,794569,1,1.283
962780,674069,1,2.7917
386911,154722,1,0.6256
649118,906138,2,2.5686
38297,644227,1,0.151
855154,304783,1,1.2042
926563,859209,1,3.3957
541361,74237,1,0.2923
181694,261219,1,0.792
715260,858800,20,2.8508
803112,189015,3,0.7773
206477,96733,1,0.4603
374431,482219,1,1.4914
570450,597878,2,2.3057
994163,542936,1,2.1441
409289,105353,1,0.4146
197700,875293,1,0.7847
970712,662290,2,2.6194
536189,188327,1,0.7707
588862,779702,2,2.3506
656085,193201,1,0.7606
832422,997878,6,3.3626
521260,657090,10,2.0703
44758,291478,2,0.1775
874166,263777,1,1.048
520483,827154,1,2.0552
959147,215041,1,0.8634
968320,253302,2,0.9991
870903,788423,1,3.1184
655696,778995,1,2.6184
25366,714243,1,0.1002
512063,898271,1,2.0428
837347,439867,1,1.7382
131928,875593,1,0.5201
768910,848406,2,3.0432
564661,382982,1,1.5136
511566,776815,1,2.0319
261395,762929,1,1.0293
7841,967729,1,0.031
237657,89552,1,0.3527
257640,296503,1,1.0299
776444,203710,2,0.8019
353990,203644,14,0.8091
790634,633170,2,2.7274
469134,585703,1,1.8579
842220,349266,6,1.4015
716697,757671,3,2.8693
741449,365387,1,1.4439
413355,324885,15,1.2854
541697,139171,1,0.5487
240028,859736,4,0.9451
462961,474520,1,1.8328
13284,342664,4,0.0535
826861,473529,7,1.8688
761650,652426,2,2.7224
69273,518363,1,0.2732
543342,202032,6,0.7955
750144,467999,1,1.8487
210426,677279,1,0.8339
651406,320912,2,1.3186
389876,469580,4,1.6179
740397,226744,7,0.8924
388024,910129,1,1.5338
597129,686712,39,2.3551
969647,412721,1,1.7398
229142,655094,2,0.9377
900793,225031,1,0.9157
654137,750304,1,2.5982
668626,605213,7,2.3888
430727,202005,1,0.8013
727426,273547,1,1.0772
541638,21130,2,0.0834
246211,460518,1,0.9913
877891,618294,1,2.4536
643568,851808,304,2.6136
47433,280782,3,0.2227
697444,695218,2,3.9836
962009,798932,1,4.4955
236078,449531,1,1.3644
751256,772206,2,4.2706
190524,636662,2,1.1442
945606,883631,1,5.0064
646791,516957,3,2.981
629293,416316,1,2.4836
247590,677411,7,1.4631
718293,740248,1,3.8649
534782,301394,2,1.2028
873324,302772,12,1.1928
767244,26003,1,0.1029
489631,681904,1,1.9514
420639,467317,1,1.7455
28915,461285,5,0.1141
90576,21864,24,0.0885
633518,919425,1,2.5204
995748,728072,4,2.8722
828942,948606,6,3.3257
101813,461620,1,0.4175
67334,760709,1,0.2653
421131,360814,1,1.4318
106268,364653,31,0.4186
812389,594264,1,2.3431
192481,112223,1,0.442
197496,657949,1,0.8484
969346,738404,2,2.9886
221454,868074,6,0.8904
354781,418742,1,1.4045
331790,243196,2,0.9572
484958,127512,2,0.5019
137885,607225,5,0.549
698885,112025,5,0.46
349891,388104,103,1.5175
423778,701473,1,1.707
699662,425406,2,1.7582
896420,962785,5,3.6521
269733,346790,1,1.081
222885,128515,5,0.5743
808936,490481,1,2.0371
28085,280517,1,0.111
194363,218241,1,0.7697
318902,462588,2,1.2581
863188,348020,4,1.3948
751589,933816,1,3.134
167870,947644,2,0.661
511489,281591,1,1.1141
659995,261737,7,1.0304
159544,83472,296,0.334
45265,489695,5,0.1786
519509,13975,1,0.0553
465617,841243,1,1.8417
727972,346820,4,1.4019
460979,418978,1,1.6683
275394,55062,42,0.2181
663033,598821,3,2.3694
124425,580182,3,0.491
229717,492607,1,0.9112
589025,169840,5,0.8421
208651,547810,1,0.8308
854975,75482,11,0.3102
700859,199566,1,0.7853
656587,456454,1,1.8133
389832,885694,2,1.5393
385540,410388,4,1.5176
520023,951969,3,2.0512
688224,94572,12,0.3822
122853,934839,3,0.6372
440789,916802,1,1.746
479414,751284,2,1.8968
699599,855561,1,2.8428
899806,591415,1,2.37
