Number One,Number Two,Their GCD,Time Spent (Milliseconds)
724774,354307,1,3.42615
894498,420086,2,4.7221
722537,601067,1,5.59667
712641,692016,3,6.41412
596882,189063,1,1.64631
333892,325017,1,4.59738
130998,249393,3,1.14312
434579,574078,1,3.94095
79677,174476,1,0.695132
632495,506969,1,5.12198
206146,74530,2,0.805153
112501,7431,1,0.064912
719765,100912,1,1.01069
179814,937977,3,1.60051
805718,8240,2,0.072014
145401,513292,1,1.26564
611324,204919,1,2.13221
663614,918012,2,6.10736
763100,238515,5,2.19242
523288,357404,4,3.20741
312764,597127,1,3.21231
878209,641766,1,5.86142
823579,278938,1,3.06588
604445,69298,1,0.650924
920242,998986,2,9.53252
775544,763680,8,10.5847
608363,18158,7,0.281154
28386,537650,2,0.449085
849528,579375,9,8.9383
576628,183084,4,1.66272
412964,624673,1,3.74241
845380,276630,10,2.56049
873966,698286,6,6.24209
324075,970397,1,2.96257
199696,45873,1,0.400776
836176,178985,1,1.61901
957804,244890,6,2.27383
274806,127706,2,1.14822
874286,598001,1,5.38793
74938,502793,1,0.68593
576134,827192,2,5.46524
517610,711278,2,4.63438
80205,33260,5,0.289855
202121,836511,1,1.95507
641127,905754,3,4.24371
92934,241191,27,0.621619
238248,53778,6,0.390075
720041,70510,1,0.511498
101854,84706,2,0.596014
151044,131589,3,0.708735
82552,274100,4,0.359068
527865,786504,3,2.21842
144248,303464,8,0.601315
379132,544962,46,1.61041
625869,986232,3,2.69181
40573,784772,1,0.169132
930354,689169,3,2.92756
884988,301574,26,1.30455
61805,38089,1,0.15893
422250,584525,25,1.77214
756022,996302,2,3.21721
201245,840885,5,0.853163
689554,234328,34,0.975185
446063,143512,1,0.621718
44808,413863,1,0.186835
840253,379809,1,2.03339
195228,368192,44,0.857963
775763,746010,1,3.21431
687079,771051,1,3.21671
926574,921676,2,4.23041
924807,535699,1,2.50928
199573,435100,1,0.849562
980578,891301,1,3.78842
14593,218090,1,0.148328
788608,522509,1,2.36425
163610,981253,1,0.730339
6970,294552,2,0.029506
697501,566847,1,2.67991
667290,767758,2,3.43825
57619,767500,1,0.226343
447586,691677,1,2.20892
380638,819851,1,1.73013
808523,825520,1,4.24091
246431,423157,1,1.71303
203507,901344,1,1.46528
244370,773792,2,1.65641
736128,854791,1,5.2324
584977,911364,1,4.48755
347169,479911,31,2.19382
465037,556130,1,2.41416
904034,7650,2,0.032007
557478,39952,2,0.166432
187479,624180,3,0.836259
194801,25095,1,0.120323
821829,643182,3,3.01487
803297,811360,11,3.83463
367323,406006,1,1.81144
758178,229698,18,1.11801
993278,282374,2,1.566
833148,437325,3,2.52768
116395,365770,5,0.655725
966382,749506,2,4.15899
718187,918391,1,3.73571
365577,225945,3,1.10761
491362,132452,2,0.707534
220708,688170,2,1.08271
53968,409221,1,0.25895
7324,939906,2,0.035407
829501,788147,1,3.94115
342029,519948,1,1.67282
817845,136265,5,0.678229
499995,324338,1,1.60561
706938,447438,6,2.17121
265087,153543,1,0.767346
52898,587393,1,0.253248
197789,675851,1,1.08161
417905,972856,1,2.25303
709310,587397,1,3.19561
488949,931722,3,2.72292
98871,8030,1,0.040908
881366,606062,2,3.29733
904019,18179,1,0.087117
334144,251196,4,1.28254
966044,801083,1,4.38083
917353,967420,1,4.51466
760464,821810,2,3.76002
779947,570926,1,2.83374
602259,834965,1,3.6922
417533,421222,1,3.63429
54652,844328,4,0.464588
615298,730878,2,3.42215
551681,881388,1,2.83044
825105,361581,3,1.78204
481017,581916,3,2.38916
989153,35974,1,0.172433
989856,950163,3,5.05126
46396,501846,2,0.242146
715305,451235,5,2.19872
373691,96395,1,0.520799
194562,496232,2,1.01009
681825,883168,1,3.84333
185746,499225,1,0.909673
416877,291677,1,1.66042
250438,895786,2,1.39837
107929,549321,1,0.588212
755344,208242,2,1.49989
306056,716569,1,2.43967
852880,562246,2,4.31002
674266,899836,2,4.42774
915594,214426,2,1.26244
254798,975985,1,1.65392
902287,492230,1,3.77212
985319,619884,1,3.63019
537521,869057,1,3.19351
723141,282651,3,1.42787
