Number One,Number Two,Their GCD,Time Spent (Milliseconds)
473113,467854,1,2.039
732069,660958,1,3.0974
619730,934869,1,2.713
636567,773059,1,2.5082
916760,440713,13,1.9014
505570,676914,2,2.0931
41468,724011,1,0.1729
164739,813265,1,0.6594
968192,798065,1,3.4533
564475,914326,1,2.9569
481203,98117,1,0.5791
800440,290859,1,1.7302
170982,906798,138,0.9881
457700,402734,2,2.0697
203195,883470,5,0.9704
347860,616013,1,1.4779
867366,961727,1,3.7301
62230,734898,2,0.2714
97927,955224,1,0.3843
621239,468219,1,2.2086
801619,105862,1,0.4429
992912,270505,1,1.082
681602,791564,2,2.7792
704443,755927,1,2.7964
658456,722400,8,2.5879
493840,636878,2,1.9625
169805,619987,1,0.6664
449609,556430,1,1.8992
961561,647536,1,3.3627
182437,744405,1,0.8319
531404,635915,1,2.1145
226239,472069,13,0.9926
307324,701017,1,1.2994
663435,930690,45,2.6182
950746,320214,2,1.2608
792721,835167,1,3.3232
677574,374522,2,1.6488
89345,587514,1,0.36
27983,489583,1,0.1099
66809,234627,1,0.2802
564326,568794,2,2.243
651770,13749,1,0.0544
76634,202931,1,0.3026
650494,222700,2,0.8761
877236,955220,4,3.5892
470203,139703,1,0.5484
354728,3233,1,0.0135
522479,49725,1,0.1952
227769,60984,3,0.2396
839277,180334,1,0.7139
248325,310717,11,0.9755
771553,51973,1,0.204
802996,475391,1,2.2558
88753,782571,1,0.4692
991856,491895,1,2.7985
439705,894140,5,2.3558
966646,548327,1,2.5683
78911,912937,1,0.31
20502,737206,2,0.0812
12719,925008,7,0.0502
578739,938932,1,2.2836
535848,625142,2,2.2818
979247,968930,1,3.9739
826634,629700,2,2.5621
658723,112340,1,0.4474
457014,257925,3,1.0404
16376,316497,1,0.0648
912701,236969,1,0.9371
694357,872515,1,2.7378
937008,334664,8,1.5486
342050,713561,1,1.4873
196523,72178,1,0.2834
457946,651706,2,1.8091
653798,535846,2,2.3664
359584,274794,2,1.1323
244811,199981,1,0.8017
472204,108759,1,0.5175
660038,533010,2,2.1037
330908,268513,1,1.0536
857470,725203,1,2.9624
583167,555023,1,2.2361
249408,971548,4,0.9845
222829,495292,1,0.8883
208251,666415,1,1.3843
942152,203429,1,0.8397
779191,482078,1,1.9483
48551,929804,1,0.1907
867516,19780,4,0.0788
483005,161491,1,0.6337
362535,102434,1,0.4122
480508,130281,1,0.5193
739357,566094,1,2.4075
685603,591383,1,3.0642
105762,340524,6,0.4155
505192,991261,1,2.0469
815752,326287,1,1.3238
580325,281939,1,1.1798
352454,261895,1,1.0276
866766,429969,3,1.6921
789503,881604,1,3.107
844894,799355,1,3.1857
509912,324900,4,1.2879
424872,931019,1,1.6744
698397,541475,1,2.1311
281809,328479,1,1.276
8889,983345,1,0.0352
517890,812147,1,2.044
483482,35098,2,0.138
228284,216640,4,0.8553
726804,130788,36,0.5136
264273,851166,3,1.0369
892787,638488,1,2.5158
827625,389124,3,1.5561
879970,327254,2,1.2845
599671,971924,1,2.3664
205098,856951,1,0.8102
443757,902765,1,1.8277
716895,490837,1,1.9641
634221,784224,63,2.5031
650978,723064,38,2.5621
193503,572484,3,0.779
238865,848261,43,0.9839
165359,360072,1,0.6607
891062,118026,2,0.4646
294481,225356,1,0.9006
626687,119441,1,0.4781
598889,136232,1,0.545
663734,318246,2,1.2624
156417,272048,1,0.6145
873210,42628,2,0.1683
53335,710866,1,0.2097
756469,216750,1,0.9311
368315,387586,1,1.4454
503648,610441,1,2.0029
720504,301110,6,1.1895
100543,874407,1,0.3947
271396,345755,1,1.0709
57845,270775,5,0.2274
95557,15685,1,0.0622
387173,631585,1,1.5287
724779,351728,1,1.3799
694211,784440,1,2.7401
616762,894929,1,2.4553
715473,713793,3,2.9095
212125,942562,1,0.8327
595884,252600,12,0.9977
352259,610441,1,1.3819
804695,553148,1,2.1803
201793,480517,1,0.7917
797234,961304,2,3.136
254990,750842,2,1.0031
512751,589309,1,2.0217
465480,827123,1,2.047
656241,292194,3,1.1598
562092,587049,3,3.1183
455102,65026,2,0.4774
48723,68106,3,0.3756
698726,813075,1,3.2598
38905,540365,5,0.1531
537339,202022,1,0.793
766797,396049,1,1.5697
556983,855747,9,2.2083
685662,181033,1,0.8852
872663,639415,1,2.5209
261424,254360,8,1.0067
985015,253126,1,0.9979
766526,439231,1,1.737
299908,653491,1,1.1925
337516,408552,4,1.3308
61937,46671,1,0.1834
241760,178861,1,0.7079
45511,411026,1,0.1787
341025,118491,3,0.4658
564660,333854,2,1.3155
544013,179801,1,0.7054
779822,772066,2,3.3097
601749,55906,1,0.2955
870939,193623,3,0.7598
813773,240927,1,0.9555
398272,564380,4,1.5677
475167,747094,1,1.8648
863725,290822,1,1.1451
231301,504946,1,0.9121
663890,21830,10,0.0913
163967,478055,23,0.6484
987220,726972,4,2.8614
475919,543528,1,1.9011
259602,519862,14,1.0249
460701,7403,1,0.0296
241437,212838,3,0.8351
990520,734847,1,2.9366
726989,507236,1,1.9945
426745,884541,1,1.6808
643657,573335,7,2.2545
605016,851010,6,2.3783
464412,80813,1,0.3182
203037,113001,3,0.4436
912807,642752,1,2.5299
491922,94844,2,0.3724
259062,719844,6,1.0163
135188,672487,1,0.5358
170122,377788,2,0.7788
819334,974502,2,3.3495
11981,180938,1,0.0472
879692,916014,22,3.4759
352707,315509,1,1.2518
474121,762181,1,1.9769
463217,834687,1,1.829
254031,636972,3,1.0001
771199,398226,1,1.5864
974160,369711,27,1.6263
459688,382017,1,1.5214
824341,579640,1,2.3005
839935,432903,1,1.7048
990090,73843,1,0.2915
412521,454625,1,1.6446
591153,464545,1,1.8392
622019,145999,1,0.5728
643679,494019,1,1.9443
592104,855254,2,2.3613
869734,786696,2,3.3188
937336,204300,4,0.8121
769316,516277,1,2.0318
791510,511461,1,2.0162
908666,132244,2,0.5192
43699,472931,1,0.1716
114385,896741,1,0.4802
179302,571289,1,0.7109
466853,505541,1,1.8447
329788,657191,1,1.3043
667433,510441,1,2.2278
472072,928483,1,1.8697
977567,289658,1,1.1521
535220,338311,1,1.5663
756353,851993,797,4.0079
956904,979823,13,4.272
422554,801687,1,1.8287
795269,524182,1,2.0738
97517,132951,7,0.3827
259324,566938,2,1.0254
76339,591584,1,0.3053
202160,665142,2,0.7971
323827,794569,1,1.4354
962780,674069,1,2.6613
386911,154722,1,0.6363
649118,906138,2,2.6767
38297,644227,1,0.1505
855154,304783,1,1.2074
926563,859209,1,3.6684
541361,74237,1,0.3045
181694,261219,1,0.721
715260,858800,20,2.8159
803112,189015,3,0.7472
206477,96733,1,0.3903
374431,482219,1,1.75
570450,597878,2,2.4177
994163,542936,1,2.4113
409289,105353,1,0.584
197700,875293,1,1.0072
970712,662290,2,3.0407
536189,188327,1,0.772
588862,779702,2,2.3577
656085,193201,1,0.7728
832422,997878,6,3.3046
521260,657090,10,2.0551
44758,291478,2,0.1768
874166,263777,1,1.1192
520483,827154,1,2.1861
959147,215041,1,0.8793
968320,253302,2,1.0107
870903,788423,1,3.1034
655696,778995,1,2.5882
25366,714243,1,0.1005
512063,898271,1,2.0227
837347,439867,1,1.7945
131928,875593,1,0.5187
768910,848406,2,3.0953
564661,382982,1,1.511
511566,776815,1,2.0129
261395,762929,1,1.0318
7841,967729,1,0.0309
237657,89552,1,0.3516
257640,296503,1,1.013
776444,203710,2,0.8067
353990,203644,14,0.8366
790634,633170,2,2.4939
469134,585703,1,1.8492
842220,349266,6,1.3788
716697,757671,3,2.9041
741449,365387,1,1.4458
413355,324885,15,1.2796
541697,139171,1,0.5616
240028,859736,4,0.9419
462961,474520,1,1.8214
13284,342664,4,0.0531
826861,473529,7,1.8667
761650,652426,2,2.5651
69273,518363,1,0.2756
543342,202032,6,0.8004
750144,467999,1,1.8573
210426,677279,1,0.8435
651406,320912,2,1.3418
389876,469580,4,1.5543
740397,226744,7,0.8965
388024,910129,1,1.5418
597129,686712,39,2.4095
969647,412721,1,1.6346
229142,655094,2,0.9089
900793,225031,1,0.8873
654137,750304,1,2.6639
668626,605213,7,2.8919
430727,202005,1,0.8242
727426,273547,1,1.0899
541638,21130,2,0.0935
246211,460518,1,1.0542
877891,618294,1,2.607
643568,851808,304,2.5393
47433,280782,3,0.1864
697444,695218,2,2.7888
962009,798932,1,3.3765
236078,449531,1,0.927
751256,772206,2,2.9944
190524,636662,2,0.7483
945606,883631,1,3.5059
646791,516957,3,2.0351
629293,416316,1,1.6381
247590,677411,7,0.9733
718293,740248,1,3.2448
534782,301394,2,1.4507
873324,302772,12,1.2027
767244,26003,1,0.1033
489631,681904,1,1.9333
420639,467317,1,1.6611
28915,461285,5,0.1158
90576,21864,24,0.088
633518,919425,1,2.5124
995748,728072,4,2.8677
828942,948606,6,3.3108
101813,461620,1,0.4113
67334,760709,1,0.2646
421131,360814,1,1.4248
106268,364653,31,0.4262
812389,594264,1,2.3872
192481,112223,1,0.4412
197496,657949,1,0.7859
969346,738404,2,2.9164
221454,868074,6,0.8693
354781,418742,1,1.3962
331790,243196,2,0.9736
484958,127512,2,0.5011
137885,607225,5,0.5414
698885,112025,5,0.4718
349891,388104,103,1.38
423778,701473,1,1.6721
699662,425406,2,1.8003
896420,962785,5,3.6011
269733,346790,1,1.0583
222885,128515,5,0.505
808936,490481,1,1.9803
28085,280517,1,0.1107
194363,218241,1,0.7627
318902,462588,2,1.2657
863188,348020,4,1.3652
751589,933816,1,3.0532
167870,947644,2,0.6588
511489,281591,1,1.1223
659995,261737,7,1.03
159544,83472,296,0.3347
45265,489695,5,0.179
519509,13975,1,0.0552
465617,841243,1,1.8376
727972,346820,4,1.3671
460979,418978,1,1.6687
275394,55062,42,0.2169
663033,598821,3,2.3671
124425,580182,3,0.4919
229717,492607,1,0.9077
589025,169840,5,0.7225
208651,547810,1,0.9499
854975,75482,11,0.3851
700859,199566,1,0.8001
656587,456454,1,1.7953
389832,885694,2,1.5325
385540,410388,4,1.5707
520023,951969,3,2.0664
688224,94572,12,0.3801
122853,934839,3,0.4822
440789,916802,1,1.735
479414,751284,2,1.8882
699599,855561,1,2.9292
899806,591415,1,2.3651
517275,80794,1,0.3186
743306,176197,1,0.6914
80713,985019,1,0.3168
57133,190169,1,0.2244
384700,442077,1,1.9364
69608,909916,28,0.3896
672412,587669,1,3.2386
12493,168187,1,0.073
612629,3937,1,0.0232
454283,540533,1,2.6444
317061,720327,3,1.8706
828144,565641,9,2.3391
540077,424904,1,2.0528
845023,209326,83,0.8217
865546,829263,1,3.2695
881938,382329,1,1.527
553214,46085,1,0.1843
949041,442506,3,1.773
536112,474670,2,1.8694
467531,347639,1,1.3747
241647,844038,3,1.0854
324330,267824,38,1.2948
670610,759139,1,2.6884
937569,834709,1,3.2834
906855,596933,1,2.4458
984439,90372,1,0.4479
335113,7256,1,0.0287
222452,759701,1,0.8853
